retrieved_at_utc	http_status	bytes	sha256_body	url	final_url	notice_kind	short_quote
2026-09-24T06:45:01Z	200	93562	0a0dc22839b63aac8b26215325d70195b6dd266bc00ff283ace00b8982915a4a	https://publicinfobanjir.water.gov.my/	https://publicinfobanjir.water.gov.my/	site home; no legal links in page body	
2026-09-24T06:45:05Z	200	67	9311bab30d8b5d05f5fa5563a251b8c96b8470873bb77c62d3d17c146d7acab7	https://publicinfobanjir.water.gov.my/robots.txt	https://publicinfobanjir.water.gov.my/robots.txt	robots.txt (not a permission)	Disallow: /wp-admin/
2026-09-24T06:45:08Z	200	137074	519256a96b3a7365877abca7c7355ccdfb0f320562d8aca34f2f84a3c24ffde8	https://www.water.gov.my/	https://www.water.gov.my/	JPS main portal home; footer links to legal pages	
2026-09-24T06:45:46Z	200	80673	f1b1545bfa886a9ae565793822d53af685d05d9c643d239eacc72a4716dd71c4	https://publicinfobanjir.water.gov.my/hujan/data-hujan/?state=PNG&type=NEGERI	https://publicinfobanjir.water.gov.my/hujan/data-hujan/?state=PNG&type=NEGERI	website footer copyright line	Copyright © 2017, Department of Irrigation and Drainage Malaysia. All Rights Reserved.
2026-09-24T06:45:49Z	200	249531	c406fd6a0e3a402dd89dc23ab628bc43be99b4a4924911d7ec84679abed88c92	https://publicinfobanjir.water.gov.my/main/	https://publicinfobanjir.water.gov.my/main/	website footer copyright line; map page	
2026-09-24T06:45:53Z	200	17311	0161c5abdbd83465bd36b7f36f116b81056a15d609576c577e14af2e0022449e	https://www.water.gov.my/index.php/pages/view/342	https://www.water.gov.my/index.php/pages/view/342	website copyright notice (JPS portal, EN)	without the express prior written consent of JPS
2026-09-24T06:45:57Z	200	17353	52716d263f0b1850dafc08e69fbe620204b011b187c6300eb39fdf458c134a10	https://www.water.gov.my/index.php/pages/view/338	https://www.water.gov.my/index.php/pages/view/338	website disclaimer (JPS portal, EN)	JPS shall not be liable for any loss or damage
2026-09-24T06:46:00Z	200	18685	5a1e65d3f15b554b244d4818aa390125ef0e79c32399f6ce0853f4fbcb70348b	https://www.water.gov.my/index.php/pages/view/340	https://www.water.gov.my/index.php/pages/view/340	privacy statement (JPS portal)	
2026-09-24T06:46:03Z	200	17069	194f05133ef11af7d358f007065c361d0af5fe0aa581257fc863dadeca5ce912	https://www.water.gov.my/index.php/pages/view/336	https://www.water.gov.my/index.php/pages/view/336	security policy (JPS portal)	
2026-09-24T06:46:06Z	200	115188	b86b19c3ad9176ce7da1ba2ca4da222ad47dc5271669e7ab084edc275f31c3e4	https://www.water.gov.my/index.php/pages/view/1556	https://www.water.gov.my/index.php/pages/view/1556	contact form (JPS portal)	
2026-09-24T06:46:30Z	200	63245	4b29c0e2148cf05047532ea6e0a0ae8b11adea86154221efd1aa3efde859c0e4	https://publicinfobanjir.water.gov.my/penafian/	https://publicinfobanjir.water.gov.my/penafian/	website disclaimer (Public Infobanjir, BM)	tidak bertanggung jawab bagi apa-apa kehilangan dan kerugian
2026-09-24T06:46:33Z	200	64303	307ecd044078c13c24b957b65c6c088012e5f127381f141ee32e3eedbd6f2dc3	https://publicinfobanjir.water.gov.my/notis-privasi/	https://publicinfobanjir.water.gov.my/notis-privasi/	privacy notice (Public Infobanjir)	
2026-09-24T06:46:37Z	200	68450	5e73303a834325bcc55393ed0dafdc5fab7ae03a5bcab0c1823adf75360a672c	https://publicinfobanjir.water.gov.my/dasar-keselamatan/	https://publicinfobanjir.water.gov.my/dasar-keselamatan/	app privacy/security policy (Public Infobanjir)	
2026-09-24T06:46:40Z	200	68668	047c340123d21cac98a325941bd9479a874210e00df0bb529168c03ee4239510	https://publicinfobanjir.water.gov.my/soalan-lazim/	https://publicinfobanjir.water.gov.my/soalan-lazim/	FAQ: hydrological data requests via JPS Water Resources and Hydrology Division	
2026-09-24T06:46:43Z	200	66927	29eb4a9c47ff5e4bfcb6965460b81e95d9b0362b0c217d68185a7127181608ab	https://publicinfobanjir.water.gov.my/mengenai-kami/hubungi-kami/	https://publicinfobanjir.water.gov.my/mengenai-kami/hubungi-kami/	contact list of state hydrology offices	
